model_id,parameter_set_id,sample_seed,point_index,point_seed_hex,offset_easting_bits,offset_northing_bits
D,d-s120-r300,2026090601,0,c129e00848e1e1dc,c056119f8a855347,403f971e229cf6d9
D,d-s120-r300,2026090601,1,3ea64477bd5192a6,c0248aae5f7dc1af,c026e743f16421bc
D,d-s120-r300,2026090601,2,560eaf4d1f6bc7f8,40318bb990f5010a,c040d29cfeaa46f3
D,d-s120-r300,2026090601,3,53226ed998b20326,c02fc643907c5b38,c046eac4527b79c6
D,d-s120-r300,2026090601,4,e0a2116c5cf5093b,c02a33bf198bc616,40478d728b2a9003
D,d-s120-r300,2026090601,5,d65015e877152077,c0546900be5d779a,4047ab43942daa24
D,d-s120-r300,2026090601,6,2b4cc645ff0b08f1,402168aa44e1bdaa,c013e29cf35cfe5e
D,d-s120-r300,2026090601,7,1c3f15d97ad6ace8,c03ac8a2d389c435,c05eedadf5aa29e2
D,d-s120-r300,2026090601,8,b362cfc49b3b6592,c0566f23b6b4f4af,c014e371809c27aa
D,d-s120-r300,2026090601,9,3e31efff20cf3167,c05b6f9fff5ace72,c038f6171c42383b
D,d-s120-r300,2026090601,10,e58d6cde70f76c73,c035f228119de410,403900e907376f3a
D,d-s120-r300,2026090601,11,015a33540a897c21,c0649fd838fb3dba,c02d7a88dc163c99
D,d-s120-r300,2026090601,12,ee094077fca40dc4,404bc4f3ba9d7cd9,c04d44ff9e254d42
D,d-s120-r300,2026090601,13,42b412daf0b7433e,405fba2c8fae6dce,c064324de136d0bc
D,d-s120-r300,2026090601,14,bc4cc828a0ed82e1,4032a88481a86811,403dd7c985412da8
D,d-s120-r300,2026090601,15,6ca89bbfd6f98ef7,c052c063e2e1a06a,c0472684fc25c05c
D,d-s120-r300,2026090601,16,7fa4ed481f455e5d,c03ee5883351da81,40512db4b02b47df
D,d-s120-r300,2026090601,17,4188608f3029edd4,c04bde20b5af7a32,40552e2ba008264e
D,d-s120-r300,2026090601,18,10441c6436de67f1,c05f0ac560becee1,405b00b85fdd1914
D,d-s120-r300,2026090601,19,4eaa1bf4784de526,c038410c0866b3b0,c066a2de69144864
D,d-s120-r300,2026090601,20,c1740e435db3b4b8,404253e34600e273,4057a5c9ac6d39be
D,d-s120-r300,2026090601,21,afcc46fa4b062acb,401250998abe21c3,405d0a4b1da89dbf
